epoch	loss	accuracy
1	1.08858	0.424444
2	1.09214	0.431111
3	1.08767	0.443333
4	1.08906	0.456667
5	1.0837	0.472222
6	1.08281	0.486667
7	1.07874	0.495556
8	1.07745	0.503333
9	1.07132	0.516667
10	1.0697	0.521111
11	1.06714	0.521111
12	1.06655	0.521111
13	1.06334	0.523333
14	1.06307	0.523333
15	1.05848	0.524444
16	1.06047	0.528889
17	1.0569	0.528889
18	1.05085	0.534444
19	1.05325	0.54
20	1.04318	0.547778
21	1.04181	0.551111
22	1.04617	0.552222
23	1.04033	0.553333
24	1.03733	0.552222
25	1.03551	0.554444
26	1.03345	0.553333
27	1.02441	0.551111
28	1.03118	0.55
29	1.02536	0.553333
30	1.02923	0.555556
31	1.0247	0.571111
32	1.0228	0.581111
33	1.0181	0.595556
34	1.01645	0.598889
35	1.01822	0.598889
36	1.01877	0.597778
37	1.01445	0.606667
38	1.01062	0.612222
39	1.00597	0.617778
40	1.00746	0.625556
41	1.0058	0.637778
42	1.00214	0.655556
43	1.00124	0.657778
44	0.995647	0.663333
45	0.995477	0.663333
46	0.997827	0.666667
47	0.989991	0.671111
48	0.995726	0.673333
49	0.988551	0.676667
50	0.985234	0.693333
